Section-07,Y orig,Xorig,Y,X,,Yplot,Xplot,,Dp-05,HHp-05,MSp-05,Up-05,Di-05,HHi-05,MSi-05,Ui-05,Krum-05,Rock-05,,Dp-07,HHp-07,MSp-07,Up-07,Di-07,HHi-07,MSi-07,Ui-07,Krum-07,Rock-07,Tp-07,,,Dp-14,HHp-14,MSp-14,Up-14,Di-14,HHi-14,MSi-14,Ui-14,Krum-14,Tp-14,,Section-15,local x-15,local y-15,yplot-15,xplot-15,,Krum-15,Dp-15,HHp-15,MSp-15,Up-15,Di-15,HHi-15,MSi-15,Ui-15,Rock-15,,,,Section-18,X,Y,Dp-18,HHp-18,MSp-18,Up-18,Di-18,HHi-18,MSi-18,Ui-18,,Tp-18
LLL,2,8,2,8,,8,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,2,1,8,2,,100,0,0,0,0,0,0,0,0,0,,,,LLL,1,7,0,0,0,0,0,0,0,0,,0
LLL,2,9,2,9,,9,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,1,1,9,2,,100,0,0,0,0,0,0,0,0,0,,,,LLL,1,8,0,0,0,0,0,0,0,0,,0
LLL,2,10,2,10,,10,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,80,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,0,1,10,2,,100,0,0,0,0,0,0,0,0,0,,,,LLL,1,9,0,0,0,0,0,0,0,0,,0
LLL,3,1,3,1,,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,9,2,1,3,,100,0,0,0,0,0,0,0,0,0,,,,LLL,2,0,0,0,0,0,0,0,0,0,,0
LLL,3,2,3,2,,2,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,8,2,2,3,,100,0,0,0,0,0,0,0,0,0,,,,LLL,2,1,0,0,0,0,0,0,0,0,,0
LLL,3,3,3,3,,3,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,7,2,3,3,,100,0,0,0,0,0,0,0,0,0,,,,LLL,2,2,0,0,0,0,0,0,0,0,,0
LLL,3,4,3,4,,4,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,6,2,4,3,,100,0,0,0,0,0,0,0,0,0,,,,LLL,2,3,0,0,0,0,0,0,0,0,,0
LLL,3,5,3,5,,5,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,5,2,5,3,,100,0,1,0,0,0,1,0,0,0,,,,LLL,2,4,0,0,0,0,0,0,0,0,,0
LLL,3,6,3,6,,6,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,83.75,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,4,2,6,3,,100,0,0,0,0,0,0,0,0,0,,,,LLL,2,5,0,0,0,0,0,0,0,0,,0
LLL,3,7,3,7,,7,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,85,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,3,2,7,3,,100,0,0,0,0,0,0,0,0,0,,,,LLL,2,6,0,0,0,0,0,0,0,0,,0
